,ct,pitch
0,-0.5471880222907758,-13.0
1,-0.5235552079844359,-12.7
2,-0.499450635983537,-12.399999999999999
3,-0.4744980918919633,-12.099999999999998
4,-0.4494346130109562,-11.799999999999997
5,-0.42427811948416727,-11.499999999999996
6,-0.3989904202085677,-11.199999999999996
7,-0.37343586504822435,-10.899999999999995
8,-0.34778672296090524,-10.599999999999994
9,-0.3220266947359107,-10.299999999999994
10,-0.29605533787712857,-9.999999999999993
11,-0.2697413181437169,-9.699999999999992
12,-0.24320828349471973,-9.399999999999991
13,-0.2164931080625387,-9.09999999999999
14,-0.1895039719195717,-8.79999999999999
15,-0.1620418053804485,-8.49999999999999
16,-0.13437475757258538,-8.199999999999989
17,-0.1067161928464007,-7.899999999999988
18,-0.07908297653084173,-7.599999999999987
19,-0.0514140092250992,-7.2999999999999865
20,-0.023682497957531336,-6.999999999999986
21,0.0040512841938829995,-6.699999999999985
22,0.03183019580330587,-6.399999999999984
23,0.05964431506884977,-6.099999999999984
24,0.08752475133938332,-5.799999999999983
25,0.11526756697319906,-5.499999999999982
26,0.1428012582255033,-5.1999999999999815
27,0.17015088076923773,-4.899999999999981
28,0.1973255466404184,-4.59999999999998
29,0.22428301346058596,-4.299999999999979
30,0.25121671592331224,-3.9999999999999787
31,0.27810171038337195,-3.699999999999978
32,0.30496539665340106,-3.3999999999999773
33,0.33187126474655837,-3.0999999999999766
34,0.3587856454937488,-2.799999999999976
35,0.38560497949808037,-2.499999999999975
36,0.4123023885994331,-2.1999999999999744
37,0.43895047101828116,-1.8999999999999737
38,0.4656041050545505,-1.599999999999973
39,0.4921571888521436,-1.2999999999999723
40,0.518577883950643,-0.9999999999999716
41,0.5448522558682404,-0.6999999999999709
42,0.5708138785645559,-0.39999999999997016
43,0.5965349092124964,-0.09999999999996945
44,0.6219414362332014,0.20000000000003126
45,0.6469450868203483,0.500000000000032
46,0.6715005997145581,0.8000000000000327
47,0.6955220199839565,1.1000000000000334
48,0.7189740278316729,1.400000000000034
49,0.741780179147824,1.7000000000000348
50,0.7640241048359803,2.0000000000000355
51,0.7857190777753508,2.3000000000000362
52,0.8068899280120446,2.600000000000037
53,0.8276718516017443,2.9000000000000377
54,0.8483980763987014,3.2000000000000384
55,0.8686433298767423,3.500000000000039
56,0.888734318565755,3.80000000000004
57,0.9087558974064934,4.1000000000000405
58,0.928762891884205,4.400000000000041
59,0.9487866444660935,4.700000000000042
60,0.9688411545913648,5.000000000000043
61,0.988887831402429,5.300000000000043
62,1.008878327702935,5.600000000000044
63,1.0288211087642036,5.900000000000045
64,1.0487029130485956,6.2000000000000455
65,1.068583311972384,6.500000000000046
66,1.0882788966443688,6.800000000000047
67,1.1088603276707538,7.100000000000048
68,1.1285707836038235,7.400000000000048
69,1.1479489441540176,7.700000000000049
70,1.1670389461336192,8.00000000000005
71,1.1858074782440746,8.30000000000005
72,1.203442606431593,8.600000000000051
73,1.2189036308306873,8.900000000000052
74,1.2324916685172083,9.200000000000053
75,1.2445211410402874,9.500000000000053
76,1.2548052426096685,9.800000000000054
77,1.26372346270923,10.100000000000055
78,1.2705759573817574,10.400000000000055
79,1.2761303583985937,10.700000000000056
80,1.2763732182399297,11.000000000000057
81,1.2835055272608902,11.300000000000058
82,1.2813067272983134,11.600000000000058
83,1.2826356527222929,11.900000000000059
84,1.2824017534619911,12.20000000000006
85,1.281916026722738,12.50000000000006
86,1.2797002930653523,12.800000000000061
87,1.2762528722963014,13.100000000000062
88,1.2717780843066018,13.400000000000063
89,1.264685869425765,13.700000000000063
90,1.2559303012038363,14.000000000000064
91,1.243541921649107,14.300000000000065
92,1.229095250175149,14.600000000000065
93,1.2126121939284338,14.900000000000066
